title	link	date	abstract	author	surtitle	source
Weshalb der Jemen-Konflikt eine ganze Region destabilisiert	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A59757245	2015-03-26	"... 
Königreich einen aufstrebenden Iran. Das militärische  Eingreifen im
Jemen ist nur der Beginn eines Machtkampfs in der Region.
Von Paul-Anton Krüger
Es ist mehr als 200 Jahre her, dass der Stamm der Saud	die ersten
Schlachten mit dem Imamat der Zaiditen um die Vorherrschaft  im Süden
 ..."		Vorherrschaft am Persischen Golf	SZ
Saudi-Arabien bombardiert Huthi-Rebellen im Jemen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A59755742	2015-03-26	"Die Huthi erobern immer weitere Gebiete im Jemen. Nun fliegt
Saudi-Arabien Luftangriffe auf Ziele in der Hauptstadt Sanaa, die von
den Rebellen kontrolliert wird. Iran verurteilt die Einmischung  durch
Jemens Nachbarn.
Was Saudi-Arabien zu dem Angriff sagt
 ..."		Konflikt	SZ
UN wollen in Jemen schlichten	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A59731770	2015-03-25	"Sanaa  - Die Konfliktparteien in Jemen sollen nach dem Willen der UN in
Katars Hauptstadt Doha zu neuen Gesprächen zusammenkommen.
Entsprechende Pläne habe der UN-Gesandte fürJemen, Dschamal Benomar,
vorgestellt, bestätigten örtliche Politiker am Dienstag.Jemen befindet
sich seit Monaten am Rande eines Bürgerkrieges.Schiitische Rebellen
 ..."		AUSLAND	SZ
Stellvertreterkrieg in Arabiens Armenhaus	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A59742979	2015-03-25	"Saudi-Arabien zieht Truppen an der Grenze zusammen, Iran  schickt
wahrscheinlich Waffen. Im Jemen tritt immer deutlicher	das Ringen der
beiden Staaten um die Vormacht am Golf zutage.
Von Paul Anton-Krüger
Al-Annad ist der größte Luftwaffenstützpunkt in Jemen.	Was sich dort
 ..."		Konflikt im Jemen	SZ
Jemen versinkt im Bürgerkrieg	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A59742973	2015-03-25	"... 
In Jemen haben die schiitischen Huthi-Rebellen am Mittwoch  den
wichtigsten Militärstützpunkt des Landes eingenommen, der  nur40
Kilometer von der Hafenstadt Aden entfernt liegt. Damit  gerät der
international anerkannte Präsident Abd Rabbo Masur  Hadi in größte
Bedrängnis. Zusammen mit Einheiten der Streitkräfte,  die zum 2012
 ..."		Südarabien	SZ
Das nächste Syrien	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A59742929	2015-03-25	"... 
Lokale Probleme sind die Ursachen für den Konflikt in  Jemen . Die
schiitische Minderheit der Huthi, ein Drittel der  Bevölkerung,
forderte nicht zu Unrecht mehr politische Beteiligung.	Auch ihr Ruf
nach einem Ende der Korruption fand großen Widerhall.  Doch inzwischen
machen sie sich daran, das Land zu übernehmen  - von
 ..."		Jemen	SZ
Luftangriff auf Präsidentenpalast im Jemen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A59739966	2015-03-25	"... 
Im Jemen ist es offenbar zu einem Luftangriff auf den  provisorischen
Präsidentenpalast von Staatschef Abd Rabbo Mansur Hadi	in der Stadt
Aden gekommen. Das verlautete aus jemenitischen  Sicherheitskreisen.
Ein Kampfjet habe mindestens drei Raketen auf die Residenz  abgefeuert,
berichtete die lokale Nachrichtenseite ""Aden al-Ghad"" unter  Berufung
 ..."		Vormarsch der Huthi-Rebellen	SZ
Ende  des Schlangentänzers	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A72544245	2017-12-05	"... 
Huthi-Miliz auf und diente sich Saudi-Arabien als Gesprächspartner an -
sofern Riad die Angriffe auf Jemen einstelle und die Blockade aufhebe.
Doch diesmal hat den Schlangentänzer die Fortune verlassen: Der
Huthi-Sender Al-Masirah meldete am Montag unter Berufung auf das
ebenfalls von den Huthis kontrollierte Innenministerium, Saleh sei bei
 ..."		Jemens Ex-Präsident Saleh stirbt im Machtkampf um sein Land	SZ
Auch die Hoffnung ist gestorben	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A72544217	2017-12-05	"... 
In Jemen hat der Bürgerkrieg binnen 48 Stunden zwei abrupte Wendungen
genommen. Erst kündigte Ex-Präsident Ali Abdullah Saleh seine
Zweckallianz mit den Huthi-Rebellen, die von Iran unterstützt werden.
Die Folge waren schwere Kämpfe in Sanaa, aber auch Hoffnung, dass sich
aus der Volte des 75-Jährigen endlich eine Perspektive auf Frieden
 ..."		JEMEN	SZ
Jemens Ex-Präsident Saleh ist tot	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A72543792	2017-12-04	"... 
dem Konflikt aufschlagen, erklärte er. Außerdem sagte er, niemand in
Jemen solle mehr Befehle der Huthis ausführen.
Saleh hatten Jemen etwa drei Jahrzehnte lang regiert. 2012 wurde er im
Zuge von Aufständen in der Region gestürzt. Weite Teile der Armee
blieben dem schwerreichen ehemaligen Staatschef jedoch treu ergeben.
 ..."		Sanaa	SZ
Fernweh nach dem Ammersee	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A113958398	2022-03-02	"... 
und Donau. Ihre Vorträge und Bücher entführen das Publikum meist in
entlegene Gegenden: Jemen, Patagonien, Namibia oder in die kanadischen
Rocky Mountains. Ihr jüngstes Werk aber widmet sie ihrer Wahlheimat:
""Mein Ammersee - Kraftquelle und Naturparadies"" ist gerade im
Malik-Verlag erschienen.
 ..."		Als Reiseautorin hat Carmen Rohrbach ihre Leser nach Jemen und Patagonien entführt. Doch Corona hat ihr Budget  schrumpfen lassen. Für ihr neues Buch hat sie deshalb eine Rundfahrt durch die direkte Nachbarschaft unternommen	SZ
Kampf um die eigene Identität	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A113862879	2022-02-22	"... 
beschreiben. Die Bohnen gelten als eine der besten Kaffeesorten der
Welt. Nur, wer weiß das noch? Wer an Jemen denkt, denkt an Krieg,
Drohnen, Armut, an abgemagerte Kinder mit großen, traurigen Augen.
Dabei sei Jemen so viel mehr, sagt die 34-jährige Filmemacherin aus der
Hauptstadt Sanaa der SZ am Telefon. Zum Beispiel rote Kaffeekirschen,
 ..."		Seit 2015 herrscht in Jemen Krieg. Nun befürchten manche, dass die Kriegsparteien auch die Kultur  des Landes kapern. Ob Kaffee, traditionelle Kleidung oder Drachenblutbäume - alles wird zur Beute	SZ
Der Kampf um die eigene Identität	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A114171780	2022-02-21	"Seit 2015 herrscht in Jemen Krieg. Nun befürchten manche, dass auch die
jemenitische Kultur von den Kriegsparteien gekapert wird. Ob Kaffee,
besondere Vogelarten oder Drachenblutbäume, sie haben viel zu
verlieren.
Von Dunja Ramadan
 ..."		Jemen	SZ
Drohnen auf das Palmenidyll	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A113794335	2022-02-07	"... 
die Emirate für die territorialen Zugewinne der von ihnen unterstützten
Milizen in Jemen bestrafen. ""Wenn ihr zurückkommt, kommen wir zurück"",
lautet ihre wiederholte Drohung. Offiziell haben sich die VAE 2019 aus
der von Saudi-Arabien geführten Militärkoalition zurückgezogen, mit der
sie Jemens geflohenen Präsidenten Abd Rabbo Mansour Hadi unterstützten.
 ..."		Jemenitische Huthi-Rebellen stören mit Angriffen das Bild von Abu Dhabi.   Ihre Schutzmacht Iran will so die Emirate für ihre Annäherung an Israel bestrafen	SZ
Attacke auf Rekruten	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A68440567	2016-08-30	"... 
In Jemen tobt seit 18 Monaten ein blutiger Bürgerkrieg zwischen
schiitischen Huthi-Rebellen und der international anerkannten,
sunnitisch dominierten Regierung von Präsident Hadi. Im September 2014
überrannten die Huthi-Rebellen die Hauptstadt Sanaa und in der Folge
weitere Regionen. Präsident Hadi erklärte daraufhin Aden zur
 ..."		Ein Selbstmordattentäter des IS reißt in Jemen mehr als 50 Menschen mit  in den Tod	SZ
Dutzende Tote nach  Terroranschlag in Jemen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A68440527	2016-08-30	"Aden - Bei einem Selbstmordanschlag auf einen Stützpunkt sind in der
südjemenitischen Hafenstadt Aden am Montag mehr als 50 Menschen
gestorben. Nach Angaben des Gesundheitsministeriums wurden zudem fast
70 Menschen verletzt, als der Attentäter sein mit Sprengstoff beladenes
Auto auf dem Militärgelände zündete. Die Terrormiliz Islamischer Staat
 ..."			SZ
Fast 3800 Opfer in Jemenkrieg	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A68310151	2016-08-26	"Genf - Der Konflikt im Jemen fordert laut UN-Angaben immer mehr Tote
unter der Zivilbevölkerung. Bis Wochenbeginn war die Zahl der Opfer auf
3799 angestiegen, wie die Vereinten Nationen am Donnerstag in Genf
mitteilten. Mindestens 7,6 Millionen Menschen, darunter drei Millionen
Frauen und Kinder, litten unter Mangelernährung. Die Zahl der
 ..."		AUSLAND	SZ
Ärzte verlassen Jemen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A68147488	2016-08-20	"Berlin- Nachdem bei einem Luftangriff auf ein Krankenhaus in Jemen
einer ihrer Mitarbeiter getötet wurde, ziehen die ""Ärzte ohne Grenzen""
aus sechs Kliniken im Norden des Landes ab. Darunter seien Kinderärzte,
Geburtshelfer, Chirurgen und Notfall-Mediziner, teilte das Hilfswerk am
Freitag mit. Die Organisation sprach von einer ""willkürlichen
 ..."		INLAND/AUSLAND	SZ
"""Ärzte ohne Grenzen"" zieht sich aus dem Norden Jemens zurück"	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A68138026	2016-08-18	"... 
Nach schweren Luftangriffen auf Krankenhäuser im Jemen zieht sich die
Hilfsorganisation Ärzte ohne Grenzen (MSF) aus dem Norden des Landes
zurück. Sie habe das Vertrauen in die von Saudi-Arabien angeführte
Militärkoalition verloren, Angriffe wie die Attacke vom Montag mit 19
Toten zu verhindern, erklärte die Organisation am Donnerstag.
 ..."		Nach Luftangriffen	SZ
Mindestens elf Tote bei Luftangriff auf Krankenhaus in Jemen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A68110417	2016-08-16	"... 
Bei einem Luftangriff auf ein Krankenhaus im Jemen sind nach Angaben
der Hilfsorganisation Ärzte ohne Grenzen mindestens elf Menschen
getötet worden. 19 wurden diesen Angaben nach verletzt. Alle Opfer
seien Zivilisten, darunter viele Frauen und Kinder.
Bei der Klinik handele es sich um eine von der Hilfsorganisation
 ..."		Krieg in Jemen	SZ
Der Krieg in Jemen flammt wieder auf	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A68073877	2016-08-12	"... 
stehen zu ihm loyal. Das macht ihn zu einer der mächtigsten Figuren in
Jemen.
Die Lebensbedingungen in Sanaa werden derweil immer schwieriger.
Grundnahrungsmittel sind ""wahnsinnig teuer geworden"", wie ein Bewohner
sagt. Ein Sack Reis kostete früher 6000 Rial, heute seien es 15000 Rial
 ..."		Die von Saudi-Arabien angeführte Militärkoalition fliegt Angriffe - angeblich nur auf militärische Ziele. Doch daran mehren sich die Zweifel	SZ
Krieg in Jemen   flammt wieder auf	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A68073832	2016-08-12	"München - Bei Luftangriffen der von Saudi-Arabien geführten Koalition
sind nach Angaben des UN-Kinderhilfswerks Unicef in der Hauptstadt
Sanaa mehrere Zivilisten getötet worden, darunter mindestens vier
Kinder.  SZ
►Seite 7"			SZ
Versteckspiel der Szene	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A67882502	2016-07-21	"... 
Sanchez alias Pico Be. Denn er, der mit seiner Band Kamerakino einst
den Jemen bereiste, bangt ein wenig um die Sicherheit - für das
friedliche Festival und die Musikerkollegen im ruinierten Jemen, die er
mit dem Erlös unterstützen will.
Irgendwie passt diese Camouflage und das Labyrinth der Räume auch zur
 ..."		"Benefizabend ""Peace & Noise"" spielt wieder für den Jemen"	SZ
Rüstungsexporte für 400 Millionen Euro an Jemen-Kriegsallianz	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A102834535	2019-03-28	"... 
Wert von rund 400 Millionen Euro an die von Saudi-Arabien geführte
Jemen-Kriegsallianz genehmigt. Trotz eines von Union und SPD im
Koalitionsvertrag vereinbarten teilweisen Exportstopps wurden in den
ersten zwölf Monaten des Kabinetts 208 Einzelgenehmigungen für die acht
beteiligten Länder erteilt. Das geht aus einer Antwort auf eine Anfrage
 ..."		Bundesregierung	SZ
Land des Misstrauens	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A102665873	2019-03-09	"... 
gestoppt. Ob der Bann gegen Riad nun wieder aufgehoben wird, will sie
aber anhand der Entwicklung im Jemen-Krieg entscheiden, wie
Außenminister Heiko Maas (SPD) angekündigt hat. Khashoggi werde durch
das Embargo auch nicht wieder lebendig, heißt es in Berlin. In der
Jemen-Frage aber könnten die Saudis sich bewegen. Man will also den
 ..."		Was der Krieg in Jemen mit dem Exportstopp zu tun hat - und mit dessen Aufhebung	SZ
Befallener Weizen in Jemen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A102587993	2019-02-28	"Genf - Bei einer ersten Inspektion der seit fünf Monaten blockierten
Getreidesilos im Bürgerkriegsland Jemen haben Helfer einen Befall mit
Rüsselkäfern festgestellt. Wie viel von den 51000 Tonnen Weizen
betroffen ist, konnte ein Sprecher des UN-Welternährungsprogramms (WFP)
noch nicht sagen. Die Silos befinden sich in einer Kampfzone nahe der
 ..."		AUSLAND	SZ
Milliarden für Jemen-Hilfe	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A102578640	2019-02-27	"Genf - Bei der Geberkonferenz für das Bürgerkriegsland Jemen sind in
Genf am Dienstag 2,6 Milliarden Dollar zusammengekommen (2,3 Milliarden
Euro). UN-Generalsekretär António Guterres nannte dies einen Erfolg: Es
seien 30 Prozent mehr als bei der Geberkonferenz vor einem Jahr.
Allerdings brauchen die Vereinten Nationen dieses Jahr 4,2 Milliarden
 ..."		AUSLAND	SZ
Kriegsparteien vereinbaren Truppenabzug aus Hodeida	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A102509197	2019-02-18	"... 
In Jemen herrscht seit 2015 ein Krieg zwischen den von Saudi-Arabien
und anderen arabischen Staaten unterstützten Truppen von Präsident Abd
Rabbo Mansur Hadi und den Huthi-Rebellen, hinter denen Iran steht. Nach
UN-Angaben wurden in dem Konflikt bereits mehr als 10 000 Menschen
getötet, unter ihnen Tausende Zivilisten. Nichtregierungsorganisationen
 ..."		Jemen	SZ
Das seltsame Duo und die ominöse Privatarmee	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A114590701	2022-06-10	"... 
paramilitärische Einheit aufzustellen. Die Truppe sollte sich ""aktiv""
am Bürgerkrieg im Jemen beteiligen. Dass es dadurch zu Toten, auch
unter der Zivilbevölkerung kommen würde, hätten die Angeklagten in Kauf
genommen. Das ""strategische Ziel"" des Vorhabens sei ""die Befreiung des
Bürgerkriegsgebiets"" gewesen, sagt die Staatsanwältin. Anschließend
 ..."		In Stuttgart stehen zwei Ex-Bundeswehrsoldaten vor Gericht, weil sie angeblich  in den  Bürgerkrieg im Jemen ziehen wollten	SZ
Jemen: Journalist getötet	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A109008601	2020-06-04	"Der Foto- und Video-Journalist Nabil Hasan al-Quaety ist im Jemen
ermordet worden. Der 34-Jährige arbeitet für die Nachrichtenagentur AFP
und regionale Medien. Nach AFP-Angaben wurde er am Dienstag von
bewaffneten Männern vor seinem Haus getötet. Laut ""Reporter ohne
Grenzen"" wurde er von Unterstützern der international anerkannten
 ..."			SZ
Warnung vor  einer Hungersnot	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A109008548	2020-06-04	"München - Eine internationale Geberkonferenz für humanitäre Hilfe im
vom Bürgerkrieg zerstörten Jemen hat ihr Ziel deutlich verfehlt. Statt
der angestrebten 2,4 Milliarden Dollar kamen bei der von den vereinten
Nationen und Saudi-Arabien ausgerichteten virtuellen Veranstaltung am
späten Dienstagabend lediglich 1,35 Milliarden Dollar an Zusagen
 ..."		Die humanitäre Hilfe für Jemen  steht vor drastischen Kürzungen	SZ
Verzweifelter Appell	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A109006742	2020-06-03	"... 
erstes starkes Indiz lieferten, dass im vom Bürgerkrieg zerrütteten
Jemen das Coronavirus um sich greift - ein Katastrophenszenario, vor
dem Hilfsorganisationen und die Vereinten Nationen seit Monaten warnen.
Im April schon waren in der Stadt deutlich mehr Tote zu bestatten,
angeblich drei Mal so viele wie üblich, auch wenn es nach den
 ..."		"Humanitären Helfern in Jemen geht das Geld aus - nun soll eine Geberkonferenz  ""katastrophale Einsparungen"" verhindern"	SZ
Druck ist nötig	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A109006718	2020-06-03	"Von der größten humanitären Katastrophe der Welt sprechen die Vereinten
Nationen mit Blick auf Jemen. Das Elend lässt sich auch mit solchen
Superlativen nicht hinreichend beschreiben. Vier von fünf Menschen im
ärmsten Land Arabiens sind auf Hilfslieferungen angewiesen, nur die
Lebensmittelrationen internationaler Organisationen bewahren Millionen
 ..."		JEMEN	SZ
UN-Generalsekretär  mahnt Hilfe für Jemen an	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A109006708	2020-06-03	"München - UN-Generalsekretär António Guterres hat zu einer landesweiten
Waffenruhe in Jemen und zur Solidarität mit den Menschen aufgerufen.
""Wir dürfen keine Zeit verlieren"", sagte er am Dienstag bei einer
virtuellen internationalen Geberkonferenz für das Land. Sie sollte 2,4
Milliarden Dollar an Zusagen bringen, sonst müssten die
 ..."			SZ
Hilfe für Jemen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A109005344	2020-06-02	"Genf - Die Vereinten Nationen veranstalten mit Saudi-Arabien an diesem
Dienstag eine internationale Geberkonferenz für Jemen. In dem vom Krieg
erschütterten arabischen Land herrscht nach UN-Angaben seit Jahren die
größte humanitäre Krise weltweit. Die Corona-Pandemie hat sie nun noch
verschlimmert. Für Nahrung, Medikamente und andere Hilfsgüter würden in
 ..."		KURZ GEMELDET	SZ
Geld für Jemen gesucht	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A108991488	2020-05-23	"Genf - Die Vereinten Nationen haben internationale Geber zu großzügigen
Zahlungen für humanitäre Hilfe in Jemen aufgefordert. Die UN und ihre
Partnerorganisationen bräuchten umgerechnet 1,84 Milliarden Euro für
Kauf und Verteilung von Nahrung, Medikamenten und anderen Gütern,
teilte der Sprecher des UN-Büros zur Koordinierung humanitärer Hilfe,
 ..."		KURZ GEMELDET	SZ
Um jeden  Preis	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A72358262	2017-11-14	"... 
Rückhalt und auf die Waffen aus dem Westen setzen. Das brutale Vorgehen
Riads in Jemen lässt dies immer fragwürdiger erscheinen.  Etwa, weil
die saudi-arabische Marine mit Patrouillenbooten aus Deutschland
Notleidende von Hilfslieferungen abschneiden kann
VON MORITZ BAUMSTIEGER
 ..."		Riad gibt Milliarden für sein Militär aus, um dem Rivalen Iran  Paroli zu bieten. Darunter leiden vor allem die Jemeniten	SZ
Deutsche Waffen für Saudi-Arabien	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A72358256	2017-11-14	"... 
Libanon ergriff. Ihren Konflikt tragen beide Länder auch in Syrien und
Jemen aus, hier geriet Riad zuletzt für sein Vorgehen in die Kritik. Es
verhängte eine totale Blockade, die mutmaßlich iranische Lieferungen an
Rebellen verhindern sollte. Vor allem aber leiden Zivilisten, die UN
befürchteten ""Millionen Opfer"".
 ..."		"Berlin genehmigt erneut den Export von Rüstungsgütern. Die Opposition kritisiert:  Riad habe mit seinem ""schmutzigen Krieg in Jemen Tausende Tote zu verantworten"""	SZ
Hilfe für Jemen gefordert	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A72349058	2017-11-13	"Dubai - Die Vereinten Nationen und die Europäische Union haben eine
vollständige Öffnung des Jemen für Hilfslieferungen gefordert
(Foto:dpa). In dem Bürgerkriegsland droht eine Hungersnot. Mehr als 20
Millionen Menschen sind demnach auf humanitäre Hilfe angewiesen. Die
Lieferung lebensrettender Versorgungsgüter sei daher entscheidend,
 ..."		AUSLAND	SZ
Gabriel appelliert in  Jemen-Krise an Riad	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A72336571	2017-11-11	"Berlin - Bundesaußenminister Sigmar Gabriel hat Saudi-Arabien
aufgefordert, weitere Hilfswege nach Jemen zu öffnen, um eine
menschliche Katastrophe zu verhindern. Eine Sprecherin Gabriels sagte
am Freitag, der Minister habe in einem Telefonat mit seinem
saudi-arabischen Kollegen Adel al-Dschubeir die Wiedereröffnung des
 ..."			SZ
Tote bei Luftangriff in Jemen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A72251470	2017-11-02	"Dubai - In Jemen sind bei einem Luftangriff der von Saudi-Arabien
geführten Allianz mehr als 20 Menschen getötet worden. Ziel sei ein
Markt im Bezirk Sahar gewesen, berichtete ein Reuters-Reporter am
Mittwoch vor Ort. Der Bezirk in der nördlichen Provinz Saadah grenzt an
Saudi-Arabien. Die von dem Königreich geführte Allianz hat bereits
 ..."		AUSLAND	SZ
Schlepper soll Migranten ins Meer gestoßen haben	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A71545550	2017-08-10	"... 
""schockierend und unmenschlich"", sagte Laurent de Boeck, Leiter der
IOM-Mission in Jemen .
In Jemen kämpfen seit Jahren schiitische Huthi-Rebellen gegen Truppen
der sunnitischen Regierung. Der Bürgerkrieg hat das bitterarme Land auf
der Arabischen Halbinsel in eine schwere Krise gestürzt. Dennoch kamen
 ..."		Jemen	SZ
Schlimmste Cholera-Epidemie seit Menschengedenken	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A71107869	2017-06-26	"Doha - Jemen wird von der derzeit schlimmsten Cholera-Epidemie der Welt
heimgesucht. Das UN-Kinderhilfswerks Unicef und die
Weltgesundheitsorganisation WHO erklärten, die Zahl der Verdachtsfälle
habe 200000 bereits überstiegen. Jeden Tag infizierten sich in dem
Bürgerkriegsland 5000 Menschen neu mit der Krankheit, die schweren
 ..."		Vereinte Nationen rechnen im Jemen  mit 300000 Infizierten bis Ende August. Bürgerkrieg verhindert Eindämmung	SZ
Lachsfischen im Jemen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A71096302	2017-06-24	"... 
und Engländer damit beauftragt, nordeuropäische Lachse in den Wadis des
Wüstenstaates Jemen anzusiedeln. Klingt gaga? Findet der früh
vertrocknete Wissenschaftler Alfred Jones (Ewan McGregor) auch. Der
junge Brite mit dem alt klingenden Namen - Fachgebiet: Lachs- und
Forellenzucht - verfasst entsprechende Briefe, deren rabiat ätzender
 ..."		ROMANTISCHE SATIRE  ZDF NEO  Samstag, 20.15 Uhr	SZ
Bis zum letzten   Reiskorn	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A70260928	2017-03-18	"... 
importieren, und wenn nicht sehr bald sehr viel mehr Lieferungen
kommen, dann wird Jemen in die mit Abstand größte Hungersnot seit
Jahrzehnten stürzen, wie die Vereinten Nationen in dieser Woche
eindringlich warnten - eine von Menschen gemachte, kriegsbedingte,
absehbare Katastrophe.
 ..."		Jemens Kriegsparteien nutzen den Mangel als Waffe.  Dringend notwendige Hilfe wird gnadenlos blockiert	SZ
31 Flüchtlinge vor der Küste Jemens getötet	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A70259480	2017-03-17	"... 
Küstenwache, der Nachrichtenagentur Reuters. Die Betroffenen seien auf
dem Weg von Jemen in den Sudan gewesen und hätten Papiere des
Flüchtlingshilfswerkes UNHCR bei sich gehabt. Nach Angaben der von den
schiitischen Huthi-Rebellen kontrollierten Nachrichtenagentur Saba
ereignete sich der Zwischenfall in der Nähe der Provinz Hodeida.
 ..."		Migration	SZ
Trump preist getöteten Soldaten - doch Fragen zum Jemen-Einsatz bleiben	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A70121943	2017-03-02	"... 
Seals war Ende Januar bei einem Einsatz seiner Einheit gegen al-Qaida
in Jemen getötet worden, den Trump angeordnet hatte.
""Ryan starb, wie er lebte, ein Kämpfer und ein Held"", sagte Trump am
Dienstag zur sichtlich bewegten Witwe Carryn Owens, die mit den Tränen
kämpfte, während sie von den Anwesenden mit Standing Ovations bedacht
 ..."		Anti-Terror-Einsatz	SZ
Fischen im Jemen	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A111849379	2021-04-15	"... 
Pablo ToscaDer Argentinier Pablo Tosca widmete sich der
Hungerkatastrophe im Jemen - und wurde für sein Bild mit dem ersten
Preis der Kategorie ""Contemporary Singles"" bedacht. Im Februar 2020
begleitete er Fatima und eines ihrer neun Kinder beim Fischen.
Geschätzt 16 Millionen Menschen, mehr als die Hälfte der jemenitischen
 ..."		World Press Photo Award	SZ
Zwölf   Kilo	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A111597341	2021-03-27	"... 
Es ist ein Krieg, der in Vergessenheit geraten ist. Sechs Jahre dauert
der Konflikt in Jemen schon an. Das ist vor allem eine humanitäre
Katastrophe: Mittlerweile sind 2,3 Millionen Kinder von Unterernährung
bedroht, 400000 kämpfen um ihr Überleben, da Nahrungsmittelpakete
aufgrund der Bombardierungen nicht mehr ankommen. Die Dunkelziffer
 ..."		"Nach sechs Jahren   Krieg: Der  Kurzdokumentarfilm  ""Hunger Ward""   zeigt die humanitäre   Krise in Jemen"	SZ
Sechs Jahre Tod und Zerstörung	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A111597312	2021-03-27	"... 
beginnende Intervention seiner hochgerüsteten Armee im benachbarten
Jemen, so war sich Mohammed bin Salman sicher, würde die schiitischen
Huthi-Rebellen schnell in die Schranken weisen und seine eigene
Karriere weiter befördern. Der Name, den er der Operation gab, war
zumindest recht vollmundig: Seine Kampfjets hoben unter der Parole
 ..."		Saudi-Arabien will den verheerenden Bürgerkrieg in Jemen beenden. Doch das ist kompliziert	SZ
Sechs Jahre Tod und Zerstörung	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A111703828	2021-03-26	"Kronprinz Mohammed bin Salman wollte 2015 einen schnellen Erfolg in
Jemen, doch der verheerende Krieg läuft noch immer. Saudi-Arabien will
ihn beenden, aber das ist kompliziert.
Von Moritz Baumstieger
Als Saudi-Arabiens neuer Verteidigungsminister nach zwei Monaten im Amt
 ..."		Krieg in Jemen	SZ
Jemen wird zu Saudi-Arabiens Albtraum	https://archiv.szarchiv.de/Portal/restricted/Start.act?articleId=A113889464	2022-01-10	"... 
Für die Huthi ergab sich am 2. Januar einmal mehr die Gelegenheit, ihre
Macht in Jemen zu demonstrieren. Kommandoeinheiten der schiitischen
Bewegung, deren offizieller Titel Ansar Allah - Unterstützer Gottes -
lautet, brachten die Rwabiin ihre Gewalt. Das unter Flagge der
Vereinigten Arabischen Emirate fahrende Schiff habe Kriegsgerät
 ..."		Krieg	SZ
